phase,title,body,state_specific,depends_on,helpful_links
Physical Setup,Point-of-Care Testing Setup,Urinalysis A1C strep flu etc (tip: make sure CLIA waivers include all tests you want: see Phase 10),No,,
Physical Setup,Signage Installation,Exterior building interior directional,No,Office Buildout,
Physical Setup,Utilities & Services Setup,Electric water internet janitorial,No,Office Location Lease,
Staffing & Training,Staff Hiring Plan,Job descriptions hiring timeline,No,,
Staffing & Training,Employee Handbook,Policies benefits expectations,No,Staff Hiring Plan,
Staffing & Training,HR Compliance Setup,I-9 W-4 background checks,No,Staff Hiring Plan,
Staffing & Training,Staff Training,EMR phone systems clinical workflows,No,,
Staffing & Training,Benefits Administration,Health insurance retirement if offered,No,Payroll System Setup,
Operational Readiness,Policies & Procedures Manual,"TIP: No need to have this manual prepared - just have a binder or file ready to go. When you hire your first hire, part of their job is to keep this policies and procedures manual up-to-date, so then you have everything ready to go for new hires!",No,,
Operational Readiness,Mock Patient Visits,Practice workflows troubleshoot issues,No,Staff Training,
Operational Readiness,Soft Launch Planning,Friends family limited enrollment,No,Mock Patient Visits,
Operational Readiness,Final Inspections,Fire safety health department,Yes,Office Buildout,
Operational Readiness,Risk Management Review,Final compliance check,No,,
Operational Readiness,HIPAA Compliance Program / Training,"Understand how to remain HIPAA compliant, and if there's a breach, understand what needs to be done.",No,,
Operational Readiness,Business Associate Agreements,Make sure you have signed BAA's on file (vendors should have them available) for all who are handling PHI,No,HIPAA Compliance Program / Training,
Operational Readiness,CLIA Waiver Application / Certificate,Certificate for point-of-care testing if applicable (usually from the state),Yes,,
Operational Readiness,Controlled Substance Protocols,"Policies for prescribing, monitoring, storage of scheduled prescriptions",No,,
Launch,Official Launch,Open for business grand opening,No,,
Launch,Launch Event,Community celebration open house,No,Official Launch,
Launch,Press Outreach,Media announcements interviews,No,Press Release Preparation,
